PING 172.25.0.3 (172.25.0.3) 56(84) bytes of data.
64 bytes from 172.25.0.3: icmp_seq=1 ttl=63 time=139 ms
64 bytes from 172.25.0.3: icmp_seq=2 ttl=63 time=75.7 ms
64 bytes from 172.25.0.3: icmp_seq=3 ttl=63 time=31.7 ms
64 bytes from 172.25.0.3: icmp_seq=4 ttl=63 time=47.3 ms
64 bytes from 172.25.0.3: icmp_seq=5 ttl=63 time=43.5 ms
64 bytes from 172.25.0.3: icmp_seq=6 ttl=63 time=41.6 ms
64 bytes from 172.25.0.3: icmp_seq=7 ttl=63 time=38.8 ms
64 bytes from 172.25.0.3: icmp_seq=8 ttl=63 time=37.4 ms
64 bytes from 172.25.0.3: icmp_seq=9 ttl=63 time=34.8 ms
64 bytes from 172.25.0.3: icmp_seq=10 ttl=63 time=32.5 ms
64 bytes from 172.25.0.3: icmp_seq=11 ttl=63 time=29.0 ms
64 bytes from 172.25.0.3: icmp_seq=12 ttl=63 time=48.2 ms
64 bytes from 172.25.0.3: icmp_seq=13 ttl=63 time=44.0 ms
64 bytes from 172.25.0.3: icmp_seq=14 ttl=63 time=40.8 ms
64 bytes from 172.25.0.3: icmp_seq=15 ttl=63 time=36.4 ms
64 bytes from 172.25.0.3: icmp_seq=16 ttl=63 time=32.6 ms
64 bytes from 172.25.0.3: icmp_seq=17 ttl=63 time=30.8 ms
64 bytes from 172.25.0.3: icmp_seq=18 ttl=63 time=46.9 ms
64 bytes from 172.25.0.3: icmp_seq=19 ttl=63 time=44.6 ms
64 bytes from 172.25.0.3: icmp_seq=20 ttl=63 time=41.6 ms
64 bytes from 172.25.0.3: icmp_seq=21 ttl=63 time=37.5 ms
64 bytes from 172.25.0.3: icmp_seq=22 ttl=63 time=34.0 ms
64 bytes from 172.25.0.3: icmp_seq=23 ttl=63 time=31.8 ms
64 bytes from 172.25.0.3: icmp_seq=24 ttl=63 time=48.3 ms
64 bytes from 172.25.0.3: icmp_seq=25 ttl=63 time=44.7 ms
64 bytes from 172.25.0.3: icmp_seq=26 ttl=63 time=40.4 ms
64 bytes from 172.25.0.3: icmp_seq=27 ttl=63 time=36.6 ms
64 bytes from 172.25.0.3: icmp_seq=28 ttl=63 time=34.6 ms
64 bytes from 172.25.0.3: icmp_seq=29 ttl=63 time=51.1 ms
64 bytes from 172.25.0.3: icmp_seq=30 ttl=63 time=47.3 ms
64 bytes from 172.25.0.3: icmp_seq=31 ttl=63 time=43.2 ms
64 bytes from 172.25.0.3: icmp_seq=32 ttl=63 time=39.3 ms
64 bytes from 172.25.0.3: icmp_seq=33 ttl=63 time=35.9 ms
64 bytes from 172.25.0.3: icmp_seq=34 ttl=63 time=33.8 ms
64 bytes from 172.25.0.3: icmp_seq=35 ttl=63 time=31.6 ms
64 bytes from 172.25.0.3: icmp_seq=36 ttl=63 time=47.0 ms
64 bytes from 172.25.0.3: icmp_seq=37 ttl=63 time=45.9 ms
64 bytes from 172.25.0.3: icmp_seq=38 ttl=63 time=41.5 ms
64 bytes from 172.25.0.3: icmp_seq=39 ttl=63 time=38.0 ms
64 bytes from 172.25.0.3: icmp_seq=40 ttl=63 time=35.4 ms
64 bytes from 172.25.0.3: icmp_seq=41 ttl=63 time=31.4 ms
64 bytes from 172.25.0.3: icmp_seq=42 ttl=63 time=47.7 ms
64 bytes from 172.25.0.3: icmp_seq=43 ttl=63 time=43.4 ms
64 bytes from 172.25.0.3: icmp_seq=44 ttl=63 time=39.7 ms
64 bytes from 172.25.0.3: icmp_seq=45 ttl=63 time=39.7 ms
64 bytes from 172.25.0.3: icmp_seq=46 ttl=63 time=36.4 ms
64 bytes from 172.25.0.3: icmp_seq=47 ttl=63 time=32.6 ms
64 bytes from 172.25.0.3: icmp_seq=48 ttl=63 time=48.6 ms
64 bytes from 172.25.0.3: icmp_seq=49 ttl=63 time=44.5 ms
64 bytes from 172.25.0.3: icmp_seq=50 ttl=63 time=42.6 ms
64 bytes from 172.25.0.3: icmp_seq=51 ttl=63 time=39.2 ms
64 bytes from 172.25.0.3: icmp_seq=52 ttl=63 time=35.0 ms
64 bytes from 172.25.0.3: icmp_seq=53 ttl=63 time=31.4 ms
64 bytes from 172.25.0.3: icmp_seq=54 ttl=63 time=47.6 ms
64 bytes from 172.25.0.3: icmp_seq=55 ttl=63 time=44.0 ms
64 bytes from 172.25.0.3: icmp_seq=56 ttl=63 time=39.7 ms
64 bytes from 172.25.0.3: icmp_seq=57 ttl=63 time=36.0 ms
64 bytes from 172.25.0.3: icmp_seq=58 ttl=63 time=31.7 ms
64 bytes from 172.25.0.3: icmp_seq=59 ttl=63 time=47.5 ms
64 bytes from 172.25.0.3: icmp_seq=60 ttl=63 time=43.6 ms
64 bytes from 172.25.0.3: icmp_seq=61 ttl=63 time=40.2 ms
64 bytes from 172.25.0.3: icmp_seq=62 ttl=63 time=38.0 ms
64 bytes from 172.25.0.3: icmp_seq=63 ttl=63 time=34.1 ms
64 bytes from 172.25.0.3: icmp_seq=64 ttl=63 time=30.6 ms
64 bytes from 172.25.0.3: icmp_seq=65 ttl=63 time=46.5 ms
64 bytes from 172.25.0.3: icmp_seq=66 ttl=63 time=42.9 ms
64 bytes from 172.25.0.3: icmp_seq=67 ttl=63 time=40.0 ms
64 bytes from 172.25.0.3: icmp_seq=68 ttl=63 time=36.1 ms
64 bytes from 172.25.0.3: icmp_seq=69 ttl=63 time=32.4 ms
64 bytes from 172.25.0.3: icmp_seq=70 ttl=63 time=48.5 ms
64 bytes from 172.25.0.3: icmp_seq=71 ttl=63 time=44.8 ms
64 bytes from 172.25.0.3: icmp_seq=72 ttl=63 time=40.5 ms
64 bytes from 172.25.0.3: icmp_seq=73 ttl=63 time=37.9 ms
64 bytes from 172.25.0.3: icmp_seq=74 ttl=63 time=34.2 ms
64 bytes from 172.25.0.3: icmp_seq=75 ttl=63 time=30.7 ms
64 bytes from 172.25.0.3: icmp_seq=76 ttl=63 time=46.4 ms
64 bytes from 172.25.0.3: icmp_seq=77 ttl=63 time=42.3 ms
64 bytes from 172.25.0.3: icmp_seq=78 ttl=63 time=40.2 ms
64 bytes from 172.25.0.3: icmp_seq=79 ttl=63 time=37.8 ms
64 bytes from 172.25.0.3: icmp_seq=80 ttl=63 time=33.8 ms
64 bytes from 172.25.0.3: icmp_seq=81 ttl=63 time=30.5 ms
64 bytes from 172.25.0.3: icmp_seq=82 ttl=63 time=46.1 ms
64 bytes from 172.25.0.3: icmp_seq=83 ttl=63 time=42.6 ms
64 bytes from 172.25.0.3: icmp_seq=84 ttl=63 time=40.8 ms
64 bytes from 172.25.0.3: icmp_seq=85 ttl=63 time=38.4 ms
64 bytes from 172.25.0.3: icmp_seq=86 ttl=63 time=34.5 ms
64 bytes from 172.25.0.3: icmp_seq=87 ttl=63 time=50.6 ms
64 bytes from 172.25.0.3: icmp_seq=88 ttl=63 time=46.3 ms
64 bytes from 172.25.0.3: icmp_seq=89 ttl=63 time=44.3 ms
64 bytes from 172.25.0.3: icmp_seq=90 ttl=63 time=40.3 ms
64 bytes from 172.25.0.3: icmp_seq=91 ttl=63 time=36.5 ms
64 bytes from 172.25.0.3: icmp_seq=92 ttl=63 time=32.6 ms
64 bytes from 172.25.0.3: icmp_seq=93 ttl=63 time=48.4 ms
64 bytes from 172.25.0.3: icmp_seq=94 ttl=63 time=44.8 ms
64 bytes from 172.25.0.3: icmp_seq=95 ttl=63 time=43.5 ms
64 bytes from 172.25.0.3: icmp_seq=96 ttl=63 time=39.0 ms
64 bytes from 172.25.0.3: icmp_seq=97 ttl=63 time=36.4 ms
64 bytes from 172.25.0.3: icmp_seq=98 ttl=63 time=32.4 ms
64 bytes from 172.25.0.3: icmp_seq=99 ttl=63 time=48.5 ms
64 bytes from 172.25.0.3: icmp_seq=100 ttl=63 time=44.4 ms

--- 172.25.0.3 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99336ms
rtt min/avg/max/mdev = 29.027/41.221/139.744/11.948 ms
